TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR,RU
TID_FORGE_COST,Cost: <number> <resource>,Coût : <number> <resource>,Kosten: <number> <resource>,Coste: <number> <resource>,Costo: <number> <resource>,Kosten: <number> <resource>,Kostnad: <number> <resource>,Custo: <number> <resource>,Maliyet: <number> <resource>,コスト： <number> <resource>,费用：<number> <resource>,비용: <resource> <number>개,"Цена: <resource>, <number>"
TID_FORUMS_BUTTON,Forums,Forums,Forum,Foros,Forum,Forums,Fora,Fóruns,Forum,フォーラム,论坛,포럼,Форумы
TID_FREEZE_SPELL,Freeze Spell,Sort de Gel,Frostzauber,Hechizo de hielo,In. congelam.,Vriesspreuk,Frysemagi,Feitiço de Gelo,Dondurma Büyüsü,「フリーズ」の呪文,冰冻法术,얼음 마법,Замораживающее Заклинание
TID_FREEZE_SPELL_INFO,"When the going gets hot, stay frosty!\n\nThe Freeze Spell sends out a cryogenic blast that temporarily immobilizes enemy ground troops and disables defensive buildings within its radius.","Si c'est chaud, restez au frais !\n\nLe sort de Gel envoie un tir cryogénique qui immobilise temporairement les troupes ennemies au sol et désactive les bâtiments défensifs dans son rayon.","Bleib frostig, wenn es heiß wird!\n\nDer Frostzauber verbreitet eine Kältewelle, durch die feindliche Bodentruppen zeitweise lahmgelegt und Verteidigungsgebäude im Umkreis deaktiviert werden.","Si la cosa se pone calentita, ¡congélalos!\n\nEl hechizo de hielo provoca una explosión criogénica que inmoviliza las tropas enemigas y desactiva las construcciones dentro de su radio.",Rinfresca l'ambiente!\n\nL'Incantesimo congelamento crea un'esplosione refrigerante che immobilizza temporaneamente le truppe di terra nemiche e disabilita gli edifici nel raggio d'azione.,Houd het hoofd koel als het te warm wordt!\n\nDe vriesspreuk verstuurt een kryogenische knal die tijdelijk vijandelijke troepen bevriest en verdedigende troepen binnen die straal uitschakelt.,Hold hodet kaldt når det går hett for seg!\n\nFrysemagi sender ut en kryo-eksplosjon som lamslår fiendtlige bakkestyrker midlertidig og deaktiverer forsvarsbygninger innenfor radiusen.,"Se o clima esquentar, fique frio!\n\nO Feitiço de Gelo lança um tiro criogênico, que imobiliza temporariamente tropas terrestres inimigas e desativa construções de defesa dentro do raio.","Ortalık kızıştığında soğukkanlılığını koru!\n\nDondurma Büyüsü, dondurucu bir saldırı yapar, düşmanın kara birliklerini geçici olarak durdurur ve kapladığı alandaki savunma binalarını etkisiz hale getirir.",戦がヒートアップしても、涼しい顔でやり過ごそう！!\n\nフリーズの呪文を使うと、極低温の衝撃波を送って敵の地上ユニットを動けなくさせ、影響範囲内の防衛設備の機能を停止させます。,随着战场越来越热，让我们保持冷若冰霜！\n\n冰冻法术能发出一道低温冲击波，暂时冰封其法力范围内的敌军地面部队和防御性建筑。,날이 더워져도 얼음 같은 시원함을 유지하세요!\n\n얼음 마법은 범위 내의 적 지상 유닛과 방어 시설을 잠시 동안 꽁꽁 얼려버리는 극저온의 냉기를 생성합니다.,"Когда дело пойдет полным ходом, сохраняйте спокойствие!\n\nЗамораживающее заклинание посылают криогенный заряд, который временно останавливает наземные войска противника и отключает все защитные строения в радиусе действия."
TID_FRIENDLY_ZONE,Friendly Territory,Territoire ami,Verbündetes Gebiet,Territorio aliado,Territorio amico,Bevriend territorium,Alliert territorium,Território amigo,Arkadaş Bölgesi,味方領土,我军阵地,아군 영역,Дружеская Территория
TID_FRIEND_LIST_TEAMUP_1,Team Up!,Faites équipe !,Verbünde dich!,¡Alíate!,Collabora!,Werk samen!,Gå sammen!,Monte sua Equipe!,Takım Ol!,フレンドをみつけて,齐心协力！,한팀이 되어!,Объединяйтесь!
TID_FRIEND_LIST_TEAMUP_2,and create your clan,et créez votre clan,und erstelle deinen Clan,Y crea tu clan.,e crea il tuo clan,en zet je clan op,og opprette klanen din,e crie seu clã,ve kendi klanını oluştur,クランを結成しましょう！,我们是一群很有爱的人,클랜을 설립하세요.,и создайте свой клан
TID_FULLY_LOADED,Fully Loaded,Chargé,Voll geladen,Totalmente cargada,Completamente carico,Volledig geladen,Fullladet,Totalmente carregado,Tam Dolu,弾薬満タン,填装完毕,충전 완료,Полностью Заряжено
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT,Do you want to load Chief <name>'s village with Town Hall level <number>? Warning: progress in the current game will be lost.,Voulez-vous charger le village du chef <name> dont l'hôtel de ville est au niveau <number> ? Attention : toute progression dans la partie en cours sera perdue.,Möchtest du das Dorf von Häuptling <name> mit einem Rathaus auf Level <number> laden? Achtung: der Fortschritt im aktuellen Spiel geht verloren.,¿Quieres cargar la aldea del jefe <name> con ayuntamiento de nivel <number>? Aviso: se perderán los avances de la partida actual.,Vuoi caricare il villaggio del Capo <name> con il municipio di livello <number>? Attenzione: i progressi della partita in corso andranno persi.,Wil je chief <name>'s dorp met stadhuislevel <number> laden? Waarschuwing: de voortgang in het huidige spel zal verloren gaan.,Vil du laste høvding <name>s landsby med rådhus på nivå <number>? Advarsel: Fremgangen i det gjeldende spillet går tapt.,Você deseja carregar o jogo do usuário <name> com Centro da Vila de nível <number>? Atenção: o progresso do jogo atual será perdido.,Şef <name> adlı kişinin Köy Binası <number>. seviye olan köyünü yüklemek istiyor musun? Uyarı: mevcut oyundaki ilerleme kaybolur.,<name>チーフの村（タウンホールのレベル： <number>）をロードしますか？　警告： 現在プレイ中のゲームの進行状況は失われます。,您想加载大本营为<number>级的名叫<name>的村庄吗？警告：如果加载该村庄，本机原来的游戏进程将丢失。,<number>레벨 마을 회관을 보유한 <name>님의 마을을 불러올까요? 주의: 진행 중인 게임은 저장되지 않습니다.,"Хотите загрузить деревню вождя <name>, где уровень ратуши — <number>? Внимание: прогресс в текущей игре будет утерян."
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT_TITLE,Game Center Alert,Alerte du Game Center,Game-Center-Alarm,Alerta de Game Center,Allerta Game Center,Game Center-melding,Game Center-varsling,Alerta do Game Center,Game Center Uyarısı,Game Center の警告,游戏中心警告,Game Center 알림,Тревога в Game Center
TID_GAMECENTER_ID_BOUND_TO_OTHER_VILLAGE,,,,,,,,,,,,,
TID_GAMECENTER_ID_BOUND_TO_OTHER_VILLAGE_TITLE,,,,,,,,,,,,,
TID_GAME_CENTER,Game Center,Game Center,Game Center,Game Center,Game Center,Game Center,Game Center,Game Center,Game Center,Game Center,游戏中心,Game Center,Game Center
TID_GARGOYLE,Minion,Serviteur,Lakai,Esbirro,Sgherro,Gunsteling,Lakei,Servo,Dalkavuk,ガーゴイル,亡灵,미니언,Миньон
TID_GC_CHALLENGE,Challenge friends,Défier vos amis,Freunde herausfordern,Desafiar a amigos,Sfida gli amici,Vrienden uitdagen,Utfordre venner,Desafiar amigos,Arkadaşlarınla kapış,フレンドに挑戦,挑战好友,친구에게 도전,Бросьте вызов друзьям
TID_GC_NOCHALLENGE,Open achievements,Ouvrir les accomplissements,Offene Errungenschaften,Abrir logros,Apri i traguardi,Openstaande uitdagingen,Åpne prestasjoner,Desbloqueie as conquistas,Açık Başarılar,達成項目を開く,打开成就,새로운 도전 과제 개발,Открыть достижения
TID_GEM_BUY_CONFIRMATION,Gems received!,Gemmes reçues !,Juwelen erhalten!,¡Gemas recibidas!,Gemme ricevute!,Edelstenen ontvangen!,Juveler mottatt!,Gemas recebidas!,Taşlar alındı!,エメラルドを受け取りました！,收到宝石！,보석 구매 완료!,Кристаллы Получены!
TID_GEM_POPUP_TEXT,You're out of gems. Go to the Shop to get some more!,Vous n'avez plus de gemmes. Allez au magasin pour vous en procurer !,"Du hast keine Juwelen mehr. Geh in den Shop, um welche zu kaufen!",No tienes gemas. ¡Ve a la tienda a comprar más!,Gemme finite! Vai al negozio per ottenerne altre!,Je edelstenen zijn op. Ga naar de winkel voor meer!,Du er tom for juveler. Gå i butikken for å skaffe fler!,Você está sem gemas. Vá à loja para adquirir um pouco mais!,Taşın kalmadı. Dükkana git ve bir miktar daha al!,エメラルドが足りません。ショップで買い足しましょう！,您的宝石用光了。去商店买一些吧！,보석이 부족합니다. 상점에서 더 구입하세요!,"Кристаллы закончились. Посетите Магазин, чтобы купить еще!"
TID_GIANT,Giant,Géant,Riese,Gigante,Gigante,Reus,Gigant,Gigante,Dev,ジャイアント,巨人,자이언트,Гигант
TID_GIVE_NAME_TITLE,My name is...,Je m'appelle...,Mein Name ist ...,Mi nombre es...,Il mio nome è...,Mijn naam is...,Jeg heter ...,O meu nome é ...,Adım...,チーフの名前,我的村庄叫做......\n请认真选择您的村庄名称，因为您今后再也无法更改名称了！,제 이름은...,Меня зовут...
TID_GOBLIN,Goblin,Gobelin,Kobold,Duende,Goblin,Goblin,Tusse,Goblin,Goblin,ゴブリン,哥布林,고블린,Гоблин
TID_GOBLIN_BALLOON,Balloon,Ballon,Ballon,Globo,Mongolfiera,Ballon,Ballong,Balão,Balon,エアバルーン,气球兵,해골 비행선,Воздушный Шар
TID_GOBLIN_SPEAKS_1,Gwaaarh! I'm not through with you yet.,Arrrgh ! J'en ai pas encore fini avec vous.,Grarrrrr! Ich bin noch nicht mit euch fertig.,¡Aaaaarg! Aún no he acabado contigo.,Gwaaarh! Non ho ancora finito con te!,Gwaaarh! Ik ben nog niet klaar met jou.,Grrr aha! Jeg er ikke ferdig med deg ennå.,Gwaaarh! Eu não terminei com você ainda.,Harharr! Seninle işim bitmedi.,ぎひゃひゃひゃ！\nまだオワリじゃないからな！,咕噜咕噜！我跟你没完！,으악! 아직 끝나지 않았다.,Гва-а-арх! Я с тобой еще не закончил.
TID_GOBLIN_SPEAKS_2,"You may have beaten me once, but this goblin camp is a lot tougher.","Vous m'avez peut-être déjà battu, mais ce nouveau camp gobelin est bien plus résistant !","Ihr habt mich vielleicht einmal besiegt, aber dieses Koboldlager ist viel stärker.","Me has derrotado una vez, pero este campamento es mucho más duro.","Puoi avermi battuto una volta, ma questo accampamento di Goblin è ben più tosto!","Je mag me dan een keer verslagen hebben, maar dit goblinkamp is heel wat lastiger.","Du klarte å slå meg én gang, men denne tusseleiren er mye sterkere.","Você pode ter me derrotado uma vez, mas este acampamento goblin é muito mais difícil.","Beni bir kez yenmiş olabilirsin, ama bu goblin kampı çok daha güçlü.",いちどはマけたけど、このゴブリンのムラは\nもっともっとてごわいぞ。,你这次不过是运气好罢了，但是接下来的哥布林部落你不一定攻得下哦。,이번에는 저번처럼 쉽지 않을 거다!,"Пусть однажды победа досталась тебе, но этот гоблинский лагерь тебе не по зубам!"
TID_GOLD,Gold,Or,Gold,Oro,Oro,Goud,Gull,Ouro,Altın,ゴールド,金币,골드,Золото
TID_GOLD_MINE_INFO,The Gold Mine produces gold. Upgrade it to boost its production and gold storage capacity.,La mine d'or produit de l'or. Améliorez-la pour stimuler sa production et augmenter sa capacité de stockage.,"Die Goldmine produziert Gold. Verbessere sie, damit sich ihre Produktion und Goldlagerungskapazität erhöht.",La mina de oro produce oro. Mejórala para aumentar la producción y la cantidad de oro almacenado.,La miniera d´oro produce oro. Migliorala per aumentare la produzione e la quantità di oro conservato.,De goudmijn produceert goud. Upgrade de mijn om de productie en opslagcapaciteit te vergroten.,Gullgruven produserer gull. Oppgrader den for å øke produksjonen og gullagerkapasiteten.,A Mina de Ouro produz ouro. Atualize-a para aumentar sua produção e capacidade de armazenamento de ouro.,Altın Madeninde altın üretilir. Üretimini ve depolama kapasitesini artırmak için bunu yükselt.,金山からは金（ゴールド）がとれます。\nアップグレードすれば生産量とゴールドの収容量が増えます。,金矿生产金币。升级金矿以最大化金币产量。,금광은 골드를 생산하는 시설입니다. 업그레이드하면 생산력과 저장 용량이 증가합니다.,"Золотая Шахта производит золото. Улучшите ее, чтобы увеличить производительность и количество хранимого золота."
TID_GOLD_SHOP_PACK,<number> Gold,<number> d'or,<number> Goldstücke,<number> oro,<number> oro,<number> goud,<number> gull,<number> Ouro,<number> Altın,ゴールド <number>,<number>金币,골드 <number>개,<number> золотых
