TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP
TID_HOUSING_INFO,Your troops are stationed in Army Camps. Build more camps and upgrade them to muster a powerful army.,Vos troupes se trouvent dans les camps militaires. Construisez plus de camps et améliorez-les pour lever une puissante armée.,"Deine Truppen sind in Armeelagern stationiert. Baue mehr Lager und verbessere diese, um eine mächtige Armee aufzustellen.",Tus tropas están posicionadas en los campamentos. Construye más campamentos y mejóralos para crear un poderoso ejército.,Le tue truppe stazionano negli accampamenti. Costruiscine altri e migliorali per condurre un esercito potente.,Je troepen zijn gestationeerd in legerkampen. Bouw meer kampen om ze te upgraden en een sterk leger te vormen.,Soldatene dine er stasjonert i militærleirer. Bygg flere leirer og oppgrader dem for å mønstre en mektig hær.,Suas tropas estão estacionadas nos Campos do Exército. Construa mais campos e atualize-os para reunir um exército poderoso.,"Askerlerin, Ordu Kampı'nda bekliyor. Güçlü bir ordu toplamak için daha çok kamp inşa et ve onları yükselt.",軍隊はアーミーキャンプに駐在しています。もっとキャンプを建ててアップグレードし、強力な兵士を集めましょう。
TID_HOUSING_TROOPS_INSIDE,All troops:,Toutes les troupes :,Alle Truppen:,Todas las tropas:,Tutte le truppe:,Alle troepen:,Alle tropper:,Todas as tropas:,Tüm birlikler:,すべての軍隊：
TID_IF_LOST,Defeat:,Défaite :,Geschlagen:,Derrota:,Sconfitti:,Nederlaag:,Vunnet:,Derrota:,Yenilgi:,失敗：
TID_INFO,i,i,i,i,i,i,i,Eu,ben,i
TID_INFO_DAMAGE_TYPE,Damage type:,Type de dégâts :,Schadensart:,Tipo de daño:,Tipo di danno:,Schadetype:,Skadetype:,Tipo de dano:,Hasar türü:,ダメージタイプ：
TID_INFO_DAMAGE_TYPE_AOE,Area Splash,Zone étendue,Flächenwirkung,Salpicadura,Raggio d´azione,Gebiedaanval,Områdespredning,Área de Respingo,Alan Tesiri,エリアスプラッシュ
TID_INFO_DAMAGE_TYPE_SINGLE,Single Target,Cible unique,Einzelziel,Objetivo único,Obiettivo singolo,Enkel doelwit,Enkeltmål,Alvo simples,Tek Hedef,シングルターゲット
TID_INFO_EFFECT_TYPE,Effect type:,Type d´effet :,Effekttyp:,Tipo de efecto:,Tipo effetto:,Soort effect:,Type effekt,Tipo de efeito:,Etki türü:,エフェクトタイプ：
TID_INFO_FORGING_TIME,Time to create:,Temps de création :,Erzeugungszeit:,Tiempo de creación:,Tempo per creare:,Tijd om te creëren:,Tid til å lage:,Tempo para criar:,Üretme zamanı:,生成時間：
TID_INFO_HEAL_TYPE,Heal type:,Type de soin :,Heilungsart:,Tipo curación:,Tipo di guarigione:,Helingtype:,Helbredstype:,Tipo de cura:,İyileşme türü:,回復タイプ：
TID_INFO_HOUSING,Housing Space:,Capacité de logement :,Wohnraum:,Espacio viviendas:,Spazio:,Huisvest:,Husrom:,Espaço de Habitação:,Barınma Alanı:,居住スペース：
TID_INFO_POP_UP_IAP_NOTE,"Clash of Clans is completely free to play, however some game items can also be purchased for real money. If you don't want to use this feature, please disable in-app purchases from your device's settings. ",,,,,,,,,
TID_INFO_POP_UP_IAP_NOTE_BUTTON,Okay,,,,,,,,,
TID_INFO_POP_UP_IAP_NOTE_TITLE,In-App Purchases,,,,,,,,,
TID_INFO_PREFERRED_TARGET,Favorite target:,Cible préférée :,Bevorzugtes Ziel:,Objetivo favorito:,Bersaglio preferito:,Favoriete doelwit:,Favorittmål:,Alvo favorito:,Favori hedef:,本命のターゲット
TID_INFO_RANGE,Range:,Portée :,Reichweite:,Alcance:,Distanza:,Bereik:,Rekkevidde:,Alcance:,Menzil:,範囲：
TID_INFO_RANGE_VALUE,<number> Tiles,<number> cases,<number> Kacheln,<number> cuadros,<number> riquadri,<number> tegels,<number> fliser,<number> Quadrados,<number> Kare,<number>タイル
TID_INFO_TARGET_TYPE,Targets:,Cible :,Ziele:,Objetivos:,Obiettivi:,Doelwitten:,Mål:,Alvos:,Hedefler:,ターゲット：
TID_INFO_TARGET_TYPE_AIR,Air,Aérienne,Luft,Aire,Aria,Lucht,Luft,Ar,Hava,空中
TID_INFO_TARGET_TYPE_GROUND,Ground,Terrestre,Boden,Tierra,Terra,Land,Bakke,Solo,Yer,地上
TID_INFO_TARGET_TYPE_GROUND_AND_AIR,Ground & Air,Terrestre & aérienne,Boden & Luft,Tierra y aire,Terra e aria,Grond en lucht,Bakke & luft,Solo e Ar,Yer ve Hava,地上と空中
TID_INFO_TRAINING_TIME,Training Time:,Temps de formation :,Trainingszeit:,Tiempo entrenamiento,Tempo di addestramento:,Trainingstijd:,Treningstid:,Tempo de treino:,Eğitim Süresi:,トレーニング時間：
TID_INVALID_NAME,Invalid name! Please try another one.,Nom incorrect ! Veuillez en choisir un autre.,Ungültiger Name! Bitte versuch einen anderen.,¡Nombre no válido! Prueba con otro.,Nome non valido! Prova con un altro.,Ongeldige naam! Probeer een andere naam.,Ugyldig navn! Forsøk et annet.,"Nome inválido! Por favor, tente outro.",Geçersiz ad! Lütfen başka bir tane dene.,その名前は使えません。別の名前にしてください。
TID_INVALID_PLACEMENT,Invalid location! Tap on an empty area,Emplacement non valide ! Touchez une zone libre,Ungültiger Ort! Tippe auf ein leeres Gebiet,¡Lugar no válido! Toca una zona vacía.,Luogo vietato! Tocca un´area libera.,Ongeldige locatie! Tik op een leeg gebied,Ugyldig plassering! Trykk på et tomt område,Local inválido! Toque em uma área vazia,Geçersiz konum! Boş bir alana dokun,ここは無効です！何もないエリアをタップしてください
TID_INVITE_BUTTON,Invite,Inviter,Einladen,Invitar,Invita,Uitnodigen,Inviter,Convidar,Davet et,招待
TID_ITEM_BROKEN,<item> (Broken),<item> (cassé),<item> (Kaputt),<item> (roto),<item> (Broken),<item> (kapot),<item> (ødelagt),<item> (Quebrado),<item> (Bozuk),<item>（損傷）
TID_ITEM_LEVEL,<item> (Level <number>),<item> (niveau <number>),<item> (Level <number>),<item> (nivel <number>),<item> (Level <number>),<item> (level <number>),<item> (nivå <number>),<item> (Nível <number>),<item> (Seviye <number>),<item>（レベル<number>）
TID_JOINALLIANCEQUESTION,Accept Clan invitation?,Accepter l'invitation de clan ?,Claneinladung annehmen?,¿Aceptar invitación del clan?,Accettare l´invito nel clan?,Clanuitnodiging accepteren?,Godta klaninvitasjon?,Aceitar o convite do clã?,Klan daveti kabul edilsin mi?,クランへの招待を承認しますか？
TID_JOINQUESTION,Want to join?,Voulez-vous participer ?,Möchtest du beitreten?,¿Quieres unirte?,Vuoi unirti?,Wil je deelnemen?,Slik deltar du,Quer participar?,Katılmak istiyor musun?,加入しますか？
TID_JOIN_ALLIANCE_TAB,Join Clan,Rejoindre le clan,Clan beitreten,Unirse al clan,Unisciti al Clan,Bij clan gaan,Delta i klan,Juntar-se ao Clã,Klana Katıl,クランに加入
TID_JUMP_MASS,Size limit: <number>,Taille max. : <number>,Größengrenze: <number>,Límite de tamaño: <number>,Limite dimensione: <number>,Groottelimiet: <number>,Størrelsesgrense: <number>,Limite de tamanho: <number>,Kapasite: <number>,サイズ制限：<number>
TID_JUMP_SPELL,Jump Spell,Sort de Saut,Sprung-Zauberspruch,Hechizo de salto,Incantesimo del Salto,Sprongspreuk,Hoppeformel,Feitiço de Salto,Atlama Büyüsü,ジャンプの呪文
TID_JUMP_SPELL_INFO,"Having trouble with walls? Try jumping over them!\n\nCast to give your troops temporary ability to jump over walls. Upgrade to also allow Giants, P.E.K.K.A.s and Heroes to jump.","Les remparts vous posent problème ? Essayez de sauter par-dessus !\n\nCréez un sort pour permettre temporairement à vos troupes de sauter par-dessus les remparts. Améliorez-le pour permettre aux géants, P.E.K.K.A.s et héros de sauter.","Hast du Probleme mit Mauern? Versuche drüber zu springen!\n\nZaubere, um deinen Truppen zeitweise die Fähigkeit zu geben über Mauern zu springen. Verbessere ihn, damit auch Riesen, P.E.K.K.A.s und Helden springen können.","¿Tienes problemas con los muros? ¡Prueba a saltarlos!\n\nHaz uso del hechizo para darle a tus tropas la habilidad temporal de saltar los muros. Haz uso de las mejoras para que los gigantes, las P.E.K.K.A y los Héroes puedan saltar.","Hai problemi coi muri? Prova a superarli con un salto!\n\nLancia un incantesimo per dare alle tue truppe l'abilità temporanea di saltare oltre i muri. Migliora l'incantesimo per permettere a Giganti, P.E.K.K.A. ed Eroi di saltare.","Moeite met de muren? Probeer er overheen te springen!\n\nGebruik een spreuk om je troepen tijdelijk over muren te laten springen. Upgrade ze om ook reuzen, P.E.K.K.A.s en helden over muren te laten springen.","Har du trøbbel med murer? Prøv å hoppe over!\n\nBruk en formel for å gi soldatene en kortvarig evne til å hoppe over murer. Oppgrader slik at også kjemper, P.E.K.K.A.-er og helter kan hoppe.","Tendo problemas com muros? Tente saltar sobre eles!\n\nSolte o feitiço para dar a suas tropas a capacidade temporária de saltar sobre muros. Atualize para também permitir que Gigantes, P.E.K.K.A.s e Heróis saltem.","Duvarlarla sorun mu yaşıyorsun? Üzerlerinden atlamayı dene!\n\nAskerlerinin duvarlardan geçici olarak atlamasını sağlamak için büyü yap. Devlerin, P.E.K.K.A.'ların ve Kahramanların da atlaması için yükselt.",壁が厄介ですか？壁を跳び越えてみましょう！\n\n軍隊に呪文を掛けて一時的に壁を跳び越える能力を与えましょう。アップグレードすればジャイアント、P.E.K.K.A.、ヒーローたちも跳び越えられるようになります。
TID_KICKED_FROM_ALLIANCE,You have been kicked from Clan: <msg>,Vous avez été exclus du clan : <msg>,Du wurdest aus dem Clan ausgestoßen: <msg>,Te han expulsado del clan: <msg>,Sei stato espulso dal Clan: <msg>,Je bent verwijderd uit: <msg>,Du har blitt sparket ut fra klanen: <msg>,Você foi expulso do Clã: <msg>,Klandan atıldınız: <msg>,クランから追い出されました：<msg>
TID_KICK_DEFAULT_MESSAGE,"Sorry, we decided to kick you out of the clan.","Désolé, nous avons décidé de vous exclure du clan.","Tut uns leid, wir haben uns dazu entschieden, dich aus dem Clan auszustoßen.","Lo sentimos, hemos decidido expulsarte del clan.","Spiacenti, abbiamo deciso di espellerti dal clan.","Sorry, we hebben besloten je uit de clan te zetten.","Beklager, vi har bestemt å sparke deg ut av klanen.","Desculpe, nós decidimos expulsar você do clã.","Üzgünüz, sizi klandan atmaya karar verdik.",申し訳ございませんが、クランから追い出すことになりました。
TID_KICK_MEMBER_CONFIRMATION,Kick out <name> from the Clan?,Exclure <name> du clan ?,<name> aus dem Clan werfen?,¿Expulsar a <name> del clan?,Vuoi espellere <name> dal clan?,<name> uit de clan zetten?,Sparke <name> fra klanen?,Explusar <name> do Clã?,<name> Klandan atılsın mı?,<name>をクランから追い出しますか？
TID_KICK_MEMBER_CONFIRMATION_TITLE,Banishment!,Bannissement !,Verbannung!,¡Desaparición!,Esilio!,Verbannen!,Utvisning!,Banimento!,Kovma!,追放！
TID_KICK_MESSAGE_TITLE,Kick Out: <name>?,Exclure : <name> ?,Ausstoßen: <name>?,¿Expulsar: <name>?,Vuoi espellere: <name>?,<name> verwijderen?,Spark ut: <name>?,Expulsar: <name>?,<name> Atılsın mı?,追い出す：<name>？
TID_KICK_OUT_FROM_ALLIANCE,Kick Out,Exclure,Rauswerfen,Expulsar,Espelli,Uitzetten,Utvis,Expulsar,At,追い出す
TID_LABORATORY_INFO,"What dark secrets do the Alchemists hide inside their Laboratory? Nobody has dared to look. All we know is that their research makes our spells and troops harder, better, faster and stronger!","Quels sombres secrets cachent les alchimistes dans leur laboratoire ? Personne n'ose entrer. Tout ce que l'on sait, c'est que leurs travaux de recherche améliorent nos sorts et nos troupes !","Welches dunkle Geheimnis verbergen die Alchemisten in ihrem Labor? Keiner traut sich nachzusehen. Wir wissen nur, dass ihre Forschungen unsere Zaubersprüche und Truppen harter, besser, schneller und stärker machen!","¿Qué secretos esconden los Alquimistas en su laboratorio? Nadie se ha atrevido a mirar. ¡Lo único que sabemos es que su investigación hace nuestros hechizos y tropas más duros, mejores, más rápidos y más fuertes!","Quali oscuri segreti nascondono gli alchimisti all'interno del loro laboratorio? Nessuno ha avuto il coraggio di scoprirlo. Tutto quello che sappiamo è che la loro ricerca rende i nostri incantesimi e le truppe più forti, migliori, più veloci e più resistenti!","Wat voor duistere geheimen verbergen de Alchemisten in hun Laboratorium? Niemand heeft durven kijken. Het enige dat we weten is dat hun onderzoek onze spreuken en troepen krachtiger, beter, sneller, en sterker maakt!","Hvilke mørke hemmeligheter gjemmer alkymister i laboratoriene? Ingen har turt å se. Alt vi vet er at deres forskning har gjort vår trolldom og tropper hardere, bedre, kjappere og sterkere!","Que segredos sombrios os Alquimistas ocultam em seu Laboratório? Ninguém ousa olhar. Tudo que sabemos é que suas pesquisas tornam nossos feitiços e tropas melhores, mais rápidos e mais fortes!","Simyacılar Laboratuarlarında hangi karanlık sırları saklıyorlar? Kimse bakmaya cesaret edemedi. Tek bildiğimiz, onların araştırmaları büyülerimizi ve birliklerimizi daha güçlü, iyi ve hızlı yapıyor!",錬金術師たちが研究所に隠したダークシークレットは一体何なのでしょうか？それは誰も見たことがありません。我々が知っていることは、錬金術師たちは、呪文や軍隊の能力が上がりより早く行動できるようになる研究を行っていたことです。
